               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.022986,           0.0044498,                   0,             0.99994,              0.9834,             0.98726,             0.64018,            0.025162,           0.0035075,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.022942,           0.0043374,                   0,             0.99959,              0.9834,             0.98718,             0.64742,            0.024673,           0.0034436,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02274,           0.0042659,                   0,             0.99939,              0.9834,             0.98716,             0.64018,            0.025014,           0.0034895,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022396,           0.0043509,                   0,             0.99866,              0.9834,               0.987,             0.64737,            0.025066,           0.0034883,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022795,            0.004414,                   0,             0.99957,              0.9834,             0.98705,             0.65035,            0.024751,           0.0034814,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022472,           0.0043499,                   0,                   1,             0.98717,             0.98725,             0.65066,            0.024907,            0.003425,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.02243,           0.0043189,                   0,             0.99965,              0.9834,             0.98719,             0.65418,            0.024617,           0.0034528,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.022357,           0.0043838,                   0,             0.99515,              0.9834,             0.98694,             0.63867,            0.025128,           0.0034943,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022533,           0.0042896,                   0,                   1,             0.98731,             0.98733,             0.64211,            0.024907,           0.0034114,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022013,           0.0042135,                   0,             0.99958,              0.9834,             0.98682,             0.63926,            0.025052,           0.0034829,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021849,           0.0043076,                   0,                   1,             0.98718,             0.98718,             0.64763,            0.024857,           0.0034232,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021869,           0.0042677,                   0,             0.99993,             0.98755,             0.98728,             0.64444,             0.02464,           0.0034226,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021845,           0.0042388,                   0,             0.99972,             0.98755,             0.98716,             0.64542,            0.024551,           0.0033957,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02181,           0.0041562,                   0,                   1,             0.98742,             0.98732,             0.65145,            0.024453,           0.0033979,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022049,           0.0042691,                   0,             0.99956,             0.98755,             0.98719,             0.64956,            0.024633,           0.0034191,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021417,           0.0042752,                   0,              0.9995,             0.98755,             0.98719,              0.6474,            0.024669,            0.003445,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021501,           0.0042379,                   0,                   1,             0.98737,             0.98735,             0.64952,            0.024878,           0.0034297,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021233,            0.004173,                   0,                   1,             0.98731,             0.98725,             0.64523,            0.024824,           0.0034673,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021281,           0.0042262,                   0,                   1,             0.98751,             0.98744,             0.65144,            0.024516,            0.003408,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.020915,           0.0042186,                   0,                   1,             0.98723,             0.98736,             0.65017,            0.024739,           0.0034161,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021161,           0.0041916,                   0,             0.99963,             0.98755,             0.98742,             0.64513,             0.02479,           0.0034229,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.020677,           0.0041188,                   0,             0.99969,             0.98755,             0.98735,             0.64681,             0.02453,            0.003428,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.020902,            0.004375,                   0,                   1,             0.98748,             0.98744,             0.64657,            0.024809,           0.0034353,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.020763,           0.0041744,                   0,             0.99981,             0.98755,             0.98739,             0.64259,            0.024896,           0.0034752,                   0,            0.000298,            0.000298,            0.000298
